,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,3.487,7.42,7.2,7.8,7.14,7.17,7276954.0,3.1584,53803749.0,56.641,2.523,427392.0,170956.8
1,603998,方盛制药,-0.68,10.22,10.19,10.24,10.0,10.29,7237573.0,1.7021700000000002,72899066.0,73.0,4.369,440417.07234,434551.04784
2,603997,继峰股份,-0.927,11.75,11.87,11.88,11.65,11.86,2259550.0,0.35866000000000003,26560555.0,25.543,4.148,749320.06,740250.0
3,603996,中新科技,2.287,17.44,16.93,17.48,16.93,17.05,3793050.0,3.67277,65535190.0,35.592,3.467,523461.6,180111.6
4,603993,洛阳钼业,0.914,7.73,7.68,7.79,7.65,7.66,79202373.0,0.61143,611937526.0,55.214,4.29,16696212.970659,10013233.830327
5,603991,至正股份,-0.662,27.0,27.35,27.45,26.73,27.18,559000.0,1.3608,15110077.0,50.0,4.3,201244.4946,110913.0786
6,603990,麦迪科技,-0.49,38.6,38.8,38.84,38.33,38.79,366449.0,0.60799,14113007.0,60.313,7.283,312361.236,232649.92
7,603989,艾华集团,0.987,37.85,37.99,38.47,37.55,37.48,2190145.0,2.59573,83014286.0,39.021,5.534,1135500.0,319359.375
8,603988,中电电机,0.431,27.94,27.8,28.09,27.47,27.82,774384.0,0.64532,21548706.0,99.786,4.977,335280.0,335280.0
9,603987,康德莱,-0.917,12.97,13.11,13.2,12.92,13.09,4682409.0,2.4635,61062674.0,34.132,3.26,409119.195,246522.67065
10,603986,兆易创新,-3.364,166.91,171.95,172.98,165.13,172.72,3475041.0,2.3584300000000002,583212219.0,83.874,19.774,3382927.440194,2459341.23685
11,603985,恒润股份,-0.442,33.81,33.91,34.15,33.51,33.96,782007.0,1.52736,26405984.0,26.717,2.622,270480.0,173107.2
12,603980,吉华集团,-0.853,18.6,18.79,18.88,18.45,18.76,5163264.0,5.16326,96292589.0,21.065,2.2720000000000002,930000.0,186000.0
13,603979,金诚信,4.694,10.26,9.82,10.75,9.82,9.8,12366210.0,5.08562,127663567.0,29.314,1.546,600210.0,249482.48832
14,603978,深圳新星,3.686,42.48,40.9,44.4,40.6,40.97,3932405.0,9.83101,168508567.0,27.057,2.513,679680.0,169920.0
15,603977,国泰集团,4.128,14.63,13.97,14.67,13.93,14.05,1696100.0,1.34954,24498213.0,47.194,3.375,323440.04,183869.84
16,603976,正川股份,1.326,29.03,28.76,29.22,28.68,28.65,3349409.0,12.40522,97028659.0,31.901,3.216,313524.0,78381.0
17,603970,中农立华,0.694,26.13,25.93,26.28,25.82,25.95,2816606.0,8.4498,73485231.0,29.73,4.319,348400.1742,87100.1742
